"order_id","order_date","customer_id","product_id","order_details_id","quantity","order_sales","order_profits","order_profit_ratio","order_discount","customer_name","customer_segment","shipping_region","shipping_city","shipping_state","shipping_country","shipping_postal_code","shipping_date","shipping_mode","product_name","product_category","product_subcategory","product_manufacturer"
"CA-2015-100136","2015-09-05 00:00:00","388","1216","11","94","305","64","0.21","0.1","John Lee","Consumer","East","New York City","New York","United States","10011","2015-09-11 00:00:00","Standard Class","OIC Binder Clips","Office Supplies","Fasteners","Other"
"CA-2015-100136","2015-09-05 00:00:00","388","122","12","143","1931","734","0.38","0.1","John Lee","Consumer","East","New York City","New York","United States","10011","2015-09-11 00:00:00","Standard Class","Alphabetical Labels for Top Tab Filing","Office Supplies","Labels","Other"
"CA-2015-100136","2015-09-05 00:00:00","388","1507","13","324","518","114","0.22","0.2","John Lee","Consumer","East","New York City","New York","United States","10011","2015-09-11 00:00:00","Standard Class","Staples","Office Supplies","Fasteners","Other"
"CA-2015-100136","2015-09-05 00:00:00","388","1600","14","216","778","264","0.34","0.1","John Lee","Consumer","East","New York City","New York","United States","10011","2015-09-11 00:00:00","Standard Class","Unpadded Memo Slips","Office Supplies","Paper","Other"
"CA-2015-100293","2015-03-14 00:00:00","564","1677","15","6","91","32","0.35","0.2","Neil Französisch","Home Office","South","Jacksonville","Florida","United States","32216","2015-03-18 00:00:00","Standard Class","Xerox 1887","Office Supplies","Paper","Xerox"
"CA-2015-100328","2015-01-28 00:00:00","355","1313","16","1","4","1","0.34","0.2","Jasper Cacioppo","Consumer","East","New York City","New York","United States","10024","2015-02-03 00:00:00","Standard Class","Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue","Office Supplies","Binders","Pressboard"
"CA-2015-100363","2015-04-08 00:00:00","376","326","17","2","2","1","0.35","0.2","Jim Mitchum","Corporate","West","Glendale","Arizona","United States","85301","2015-04-15 00:00:00","Standard Class","Binder Clips by OIC","Office Supplies","Fasteners","OIC"
"CA-2015-100363","2015-04-08 00:00:00","376","1568","18","3","19","7","0.36","0.2","Jim Mitchum","Corporate","West","Glendale","Arizona","United States","85301","2015-04-15 00:00:00","Standard Class","Things To Do Today Spiral Book","Office Supplies","Paper","Things To Do"
"CA-2015-100391","2015-05-25 00:00:00","71","1523","19","2","15","7","0.46","0","Barry Weirich","Consumer","East","New York City","New York","United States","10035","2015-05-29 00:00:00","Standard Class","Strathmore Photo Frame Cards","Office Supplies","Paper","Strathmore"
"CA-2015-100678","2015-04-18 00:00:00","447","1306","20","2","3","1","0.38","0.2","Kunst Miller","Consumer","Central","Houston","Texas","United States","77095","2015-04-22 00:00:00","Standard Class","Prang Dustless Chalk Sticks","Office Supplies","Art","Prang"
"CA-2015-100678","2015-04-18 00:00:00","447","396","21","3","149","50","0.34","0.2","Kunst Miller","Consumer","Central","Houston","Texas","United States","77095","2015-04-22 00:00:00","Standard Class","Cameo Buff Policy Envelopes","Office Supplies","Envelopes","Other"
"CA-2015-100678","2015-04-18 00:00:00","447","956","22","3","228","28","0.13","0.2","Kunst Miller","Consumer","Central","Houston","Texas","United States","77095","2015-04-22 00:00:00","Standard Class","Kensington Expert Mouse Optical USB Trackball for PC or Mac","Technology","Accessories","Kensington"
"CA-2015-100678","2015-04-18 00:00:00","447","529","23","3","317","-18","-0.06","0.3","Kunst Miller","Consumer","Central","Houston","Texas","United States","77095","2015-04-22 00:00:00","Standard Class","DMI Arturo Collection Mission-style Design Wood Chair","Furniture","Chairs","DMI"
"CA-2015-100706","2015-12-16 00:00:00","453","1595","24","6","29","10","0.33","0","Laurel Elliston","Consumer","South","Springfield","Virginia","United States","22153","2015-12-18 00:00:00","Second Class","Ultra Door Push Plate","Furniture","Furnishings","Ultra"
"CA-2015-100706","2015-12-16 00:00:00","453","421","25","2","100","8","0.08","0","Laurel Elliston","Consumer","South","Springfield","Virginia","United States","22153","2015-12-18 00:00:00","Second Class","Case Logic 2.4GHz Wireless Keyboard","Technology","Accessories","Other"
"CA-2015-100762","2015-11-24 00:00:00","556","97","26","2","16","8","0.5","0","Nat Gilpin","Corporate","Central","Jackson","Michigan","United States","49201","2015-11-29 00:00:00","Standard Class","Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book","Office Supplies","Paper","Adams"
"CA-2015-100762","2015-11-24 00:00:00","556","1675","27","3","144","69","0.48","0","Nat Gilpin","Corporate","Central","Jackson","Michigan","United States","49201","2015-11-29 00:00:00","Standard Class","Xerox 1885","Office Supplies","Paper","Xerox"
"CA-2015-100762","2015-11-24 00:00:00","556","889","28","4","152","46","0.3","0","Nat Gilpin","Corporate","Central","Jackson","Michigan","United States","49201","2015-11-29 00:00:00","Standard Class","Hunt PowerHouse Electric Pencil Sharpener, Blue","Office Supplies","Art","Hunt"
"CA-2015-100762","2015-11-24 00:00:00","556","532","29","2","197","96","0.49","0","Nat Gilpin","Corporate","Central","Jackson","Michigan","United States","49201","2015-11-29 00:00:00","Standard Class","Dot Matrix Printer Tape Reel Labels, White, 5000/Box","Office Supplies","Labels","Other"
"CA-2015-100860","2015-03-26 00:00:00","166","1462","30","5","19","9","0.48","0","Cindy Stewart","Consumer","West","Pomona","California","United States","91767","2015-03-30 00:00:00","Second Class","Smead Alpha-Z Color-Coded Name Labels First Letter Starter Set","Office Supplies","Labels","Smead"
"CA-2015-100867","2015-10-19 00:00:00","274","1335","31","6","322","20","0.06","0.2","Eugene Hildebrand","Home Office","West","Lakewood","California","United States","90712","2015-10-24 00:00:00","Standard Class","RCA Visys Integrated PBX 8-Line Router","Technology","Phones","RCA"
"CA-2015-100881","2015-03-28 00:00:00","195","163","32","3","302","23","0.08","0.2","Daniel Raglin","Home Office","West","Albuquerque","New Mexico","United States","87105","2015-04-01 00:00:00","Standard Class","AT&T TR1909W","Technology","Phones","AT&T"
"CA-2015-100895","2015-06-02 00:00:00","718","1414","33","2","9","3","0.31","0","Stewart Visinsky","Consumer","South","Roswell","Georgia","United States","30076","2015-06-06 00:00:00","Standard Class","Sanford Colorific Scented Colored Pencils, 12/Pack","Office Supplies","Art","Sanford"
"CA-2015-100895","2015-06-02 00:00:00","718","1103","34","3","240","67","0.28","0","Stewart Visinsky","Consumer","South","Roswell","Georgia","United States","30076","2015-06-06 00:00:00","Standard Class","Mophie Juice Pack Helium for iPhone","Technology","Phones","Other"
"CA-2015-100895","2015-06-02 00:00:00","718","866","35","2","357","107","0.3","0","Stewart Visinsky","Consumer","South","Roswell","Georgia","United States","30076","2015-06-06 00:00:00","Standard Class","Hot File 7-Pocket, Floor Stand","Office Supplies","Storage","Other"
"CA-2015-100916","2015-10-21 00:00:00","284","1417","36","1","3","1","0.31","0","Frank Hawley","Corporate","South","Newport News","Virginia","United States","23602","2015-10-26 00:00:00","Standard Class","SANFORD Liquid Accent Tank-Style Highlighters","Office Supplies","Art","Sanford"
"CA-2015-100916","2015-10-21 00:00:00","284","557","37","5","195","10","0.05","0","Frank Hawley","Corporate","South","Newport News","Virginia","United States","23602","2015-10-26 00:00:00","Standard Class","Eldon Base for stackable storage shelf, platinum","Office Supplies","Storage","Eldon"
"CA-2015-100916","2015-10-21 00:00:00","284","820","38","4","591","112","0.19","0","Frank Hawley","Corporate","South","Newport News","Virginia","United States","23602","2015-10-26 00:00:00","Standard Class","Hon 2111 Invitation Series Straight Table","Furniture","Tables","Hon"
"CA-2015-100972","2015-11-19 00:00:00","223","1678","39","3","166","80","0.48","0","Dennis Bolton","Home Office","West","Salt Lake City","Utah","United States","84106","2015-11-24 00:00:00","Second Class","Xerox 1888","Office Supplies","Paper","Xerox"
"CA-2015-101147","2015-12-02 00:00:00","504","1502","40","1","2","-6","-2.65","0.8","Matt Collins","Consumer","Central","Chicago","Illinois","United States","60623","2015-12-04 00:00:00","First Class","Staple holder","Office Supplies","Appliances","Staple holder"
"CA-2015-101175","2015-12-09 00:00:00","196","53","41","6","101","-1","-0.01","0.2","Dario Medina","Corporate","West","Mesa","Arizona","United States","85204","2015-12-14 00:00:00","Standard Class","Acco Perma 3000 Stacking Storage Drawers","Office Supplies","Storage","Acco"
"CA-2015-101266","2015-08-27 00:00:00","527","1689","42","2","13","6","0.48","0","Michael Moore","Consumer","South","Springfield","Virginia","United States","22153","2015-08-30 00:00:00","Second Class","Xerox 1898","Office Supplies","Paper","Xerox"
"CA-2015-101364","2015-12-22 00:00:00","734","999","43","13","297","100","0.34","0.2","Tamara Willingham","Home Office","East","New York City","New York","United States","10011","2015-12-26 00:00:00","Standard Class","Lock-Up Easel 'Spel-Binder'","Office Supplies","Binders","Other"
"CA-2015-101392","2015-12-07 00:00:00","42","112","44","7","269","70","0.26","0","Ann Steele","Home Office","West","Seattle","Washington","United States","98103","2015-12-13 00:00:00","Standard Class","Advantus Rolling Drawer Organizers","Office Supplies","Storage","Advantus"
"CA-2015-101427","2015-12-26 00:00:00","37","590","45","3","8","1","0.14","0.2","Andy Yotov","Corporate","East","Philadelphia","Pennsylvania","United States","19140","2015-12-30 00:00:00","Standard Class","Eldon Spacemaker Box, Quick-Snap Lid, Clear","Office Supplies","Art","Eldon"
"CA-2015-101462","2015-04-20 00:00:00","82","727","46","4","60","28","0.46","0","Benjamin Patterson","Consumer","West","Los Angeles","California","United States","90045","2015-04-25 00:00:00","Standard Class","GE 4 Foot Flourescent Tube, 40 Watt","Furniture","Furnishings","GE"
"CA-2015-101476","2015-09-12 00:00:00","698","605","47","1","70","30","0.43","0","Shirley Daniels","Home Office","East","New Rochelle","New York","United States","10801","2015-09-13 00:00:00","First Class","Epson WorkForce WF-2530 All-in-One Printer, Copier Scanner","Technology","Machines","Epson"
"CA-2015-101560","2015-11-28 00:00:00","149","475","48","4","13","4","0.33","0","Chris Selesnick","Corporate","South","Columbia","South Carolina","United States","29203","2015-12-01 00:00:00","Second Class","Crayola Colored Pencils","Office Supplies","Art","Crayola"
"CA-2015-101560","2015-11-28 00:00:00","149","715","49","3","46","22","0.49","0","Chris Selesnick","Corporate","South","Columbia","South Carolina","United States","29203","2015-12-01 00:00:00","Second Class","GBC Twin Loop Wire Binding Elements, 9/16"" Spine, Black","Office Supplies","Binders","GBC"
"CA-2015-101560","2015-11-28 00:00:00","149","1728","50","7","86","40","0.47","0","Chris Selesnick","Corporate","South","Columbia","South Carolina","United States","29203","2015-12-01 00:00:00","Second Class","Xerox 1933","Office Supplies","Paper","Xerox"
"CA-2015-101560","2015-11-28 00:00:00","149","559","51","5","398","44","0.11","0","Chris Selesnick","Corporate","South","Columbia","South Carolina","United States","29203","2015-12-01 00:00:00","Second Class","Eldon Cleatmat Plus Chair Mats for High Pile Carpets","Furniture","Furnishings","Eldon"
"CA-2015-101602","2015-12-15 00:00:00","539","147","52","3","41","-9","-0.23","0.2","Mick Crebagga","Consumer","Central","El Paso","Texas","United States","79907","2015-12-18 00:00:00","First Class","ARKON Windshield Dashboard Air Vent Car Mount Holder","Technology","Phones","Other"
"CA-2015-101602","2015-12-15 00:00:00","539","996","53","5","763","-22","-0.03","0.3","Mick Crebagga","Consumer","Central","El Paso","Texas","United States","79907","2015-12-18 00:00:00","First Class","Lifetime Advantage Folding Chairs, 4/Carton","Furniture","Chairs","Other"
"CA-2015-101770","2015-03-31 00:00:00","415","257","54","1","2","-1","-0.7","0.7","Karen Bern","Corporate","South","Miami","Florida","United States","33180","2015-04-04 00:00:00","Standard Class","Avery Hole Reinforcements","Office Supplies","Binders","Avery"
"CA-2015-101833","2015-11-17 00:00:00","283","1475","55","3","34","17","0.5","0","Frank Gastineau","Home Office","East","New York City","New York","United States","10024","2015-11-22 00:00:00","Second Class","Southworth 100% Cotton The Best Paper","Office Supplies","Paper","Southworth"
"CA-2015-101931","2015-10-28 00:00:00","757","1445","56","2","6","0","0.01","0","Todd Sumrall","Corporate","West","Los Angeles","California","United States","90049","2015-10-31 00:00:00","First Class","Serrated Blade or Curved Handle Hand Letter Openers","Office Supplies","Supplies","Other"
"CA-2015-101931","2015-10-28 00:00:00","757","260","57","2","7","2","0.31","0.2","Todd Sumrall","Corporate","West","Los Angeles","California","United States","90049","2015-10-31 00:00:00","First Class","Avery Non-Stick Binders","Office Supplies","Binders","Avery"
"CA-2015-101931","2015-10-28 00:00:00","757","583","58","5","141","38","0.27","0","Todd Sumrall","Corporate","West","Los Angeles","California","United States","90049","2015-10-31 00:00:00","First Class","Eldon Portable Mobile Manager","Office Supplies","Storage","Eldon"
"CA-2015-101931","2015-10-28 00:00:00","757","1307","59","2","481","14","0.03","0","Todd Sumrall","Corporate","West","Los Angeles","California","United States","90049","2015-10-31 00:00:00","First Class","Premier Automatic Letter Opener","Office Supplies","Supplies","Other"
"CA-2015-101931","2015-10-28 00:00:00","757","1196","60","6","617","-36","-0.06","0.15","Todd Sumrall","Corporate","West","Los Angeles","California","United States","90049","2015-10-31 00:00:00","First Class","O'Sullivan Living Dimensions 2-Shelf Bookcases","Furniture","Bookcases","O'Sullivan"
"CA-2015-102008","2015-09-30 00:00:00","660","1572","61","1","49","24","0.5","0","Russell Applegate","Consumer","East","New York City","New York","United States","10011","2015-10-04 00:00:00","Standard Class","Tops Green Bar Computer Printout Paper","Office Supplies","Paper","Other"
"CA-2015-102085","2015-10-04 00:00:00","400","230","62","4","29","14","0.47","0","Joy Daniels","Consumer","West","Seattle","Washington","United States","98115","2015-10-09 00:00:00","Standard Class","Avery 519","Office Supplies","Labels","Avery"
"CA-2015-102274","2015-11-21 00:00:00","204","1137","63","3","5","1","0.27","0","Dave Hallsten","Corporate","South","Richmond","Kentucky","United States","40475","2015-11-26 00:00:00","Standard Class","Newell 322","Office Supplies","Art","Newell"
"CA-2015-102274","2015-11-21 00:00:00","204","1001","64","1","37","10","0.27","0","Dave Hallsten","Corporate","South","Richmond","Kentucky","United States","40475","2015-11-26 00:00:00","Standard Class","Logitech B530 USB Headset - headset - Full size, Binaural","Technology","Phones","Logitech"
"CA-2015-102274","2015-11-21 00:00:00","204","1483","65","3","194","10","0.05","0","Dave Hallsten","Corporate","South","Richmond","Kentucky","United States","40475","2015-11-26 00:00:00","Standard Class","Space Solutions Commercial Steel Shelving","Office Supplies","Storage","Space Solutions"
"CA-2015-102274","2015-11-21 00:00:00","204","1111","66","6","629","302","0.48","0","Dave Hallsten","Corporate","South","Richmond","Kentucky","United States","40475","2015-11-26 00:00:00","Standard Class","Multicolor Computer Printout Paper","Office Supplies","Paper","Other"
"CA-2015-102295","2015-11-24 00:00:00","265","758","67","1","121","-18","-0.15","0.2","Erica Hackney","Consumer","West","Sacramento","California","United States","95823","2015-11-26 00:00:00","Second Class","Global Leather & Oak Executive Chair, Burgundy","Furniture","Chairs","Global"
"CA-2015-102330","2015-12-29 00:00:00","57","122","68","6","89","44","0.5","0","Arianne Irving","Consumer","West","Brentwood","California","United States","94513","2016-01-03 00:00:00","Standard Class","Alphabetical Labels for Top Tab Filing","Office Supplies","Labels","Other"
"CA-2015-102330","2015-12-29 00:00:00","57","884","69","4","320","36","0.11","0.2","Arianne Irving","Consumer","West","Brentwood","California","United States","94513","2016-01-03 00:00:00","Standard Class","HTC One","Technology","Phones","HTC"
"CA-2015-102645","2015-01-23 00:00:00","336","1746","70","6","40","19","0.48","0","Ionia McGrath","Consumer","West","Las Vegas","Nevada","United States","89115","2015-01-28 00:00:00","Standard Class","Xerox 195","Office Supplies","Paper","Xerox"
"CA-2015-102652","2015-04-06 00:00:00","37","1815","71","3","19","9","0.48","0","Andy Yotov","Corporate","West","Los Angeles","California","United States","90049","2015-04-12 00:00:00","Standard Class","Xerox 211","Office Supplies","Paper","Xerox"
"CA-2015-102652","2015-04-06 00:00:00","37","393","72","7","33","13","0.39","0","Andy Yotov","Corporate","West","Los Angeles","California","United States","90049","2015-04-12 00:00:00","Standard Class","C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings","Furniture","Furnishings","C-Line"
"CA-2015-102652","2015-04-06 00:00:00","37","1735","73","1","55","27","0.48","0","Andy Yotov","Corporate","West","Los Angeles","California","United States","90049","2015-04-12 00:00:00","Standard Class","Xerox 194","Office Supplies","Paper","Xerox"
"CA-2015-102652","2015-04-06 00:00:00","37","1537","74","2","92","16","0.17","0","Andy Yotov","Corporate","West","Los Angeles","California","United States","90049","2015-04-12 00:00:00","Standard Class","Tenex B1-RE Series Chair Mats for Low Pile Carpets","Furniture","Furnishings","Tenex"
"CA-2015-102673","2015-11-01 00:00:00","441","1507","75","5","8","1","0.19","0.2","Ken Heidel","Corporate","South","Charlotte","North Carolina","United States","28205","2015-11-05 00:00:00","Standard Class","Staples","Office Supplies","Fasteners","Other"
"CA-2015-102673","2015-11-01 00:00:00","441","1135","76","3","10","1","0.09","0.2","Ken Heidel","Corporate","South","Charlotte","North Carolina","United States","28205","2015-11-05 00:00:00","Standard Class","Newell 320","Office Supplies","Art","Newell"
"CA-2015-102673","2015-11-01 00:00:00","441","224","77","12","48","16","0.33","0.2","Ken Heidel","Corporate","South","Charlotte","North Carolina","United States","28205","2015-11-05 00:00:00","Standard Class","Avery 513","Office Supplies","Labels","Avery"
"CA-2015-102673","2015-11-01 00:00:00","441","435","78","9","979","110","0.11","0.2","Ken Heidel","Corporate","South","Charlotte","North Carolina","United States","28205","2015-11-05 00:00:00","Standard Class","Cisco IP Phone 7961G VoIP phone - Dark gray","Technology","Phones","Cisco"
"CA-2015-102869","2015-09-09 00:00:00","475","1814","79","3","16","5","0.35","0.2","Logan Currie","Consumer","East","Philadelphia","Pennsylvania","United States","19140","2015-09-14 00:00:00","Second Class","Xerox 210","Office Supplies","Paper","Xerox"
"CA-2015-102869","2015-09-09 00:00:00","475","1056","80","3","17","5","0.29","0.2","Logan Currie","Consumer","East","Philadelphia","Pennsylvania","United States","19140","2015-09-14 00:00:00","Second Class","Master Caster Door Stop, Large Neon Orange","Furniture","Furnishings","Master Caster"
"CA-2015-102869","2015-09-09 00:00:00","475","1363","81","6","65","-5","-0.08","0.2","Logan Currie","Consumer","East","Philadelphia","Pennsylvania","United States","19140","2015-09-14 00:00:00","Second Class","Rosewill 107 Normal Keys USB Wired Standard Keyboard","Technology","Accessories","Other"
"CA-2015-102869","2015-09-09 00:00:00","475","1295","82","1","136","-32","-0.23","0.4","Logan Currie","Consumer","East","Philadelphia","Pennsylvania","United States","19140","2015-09-14 00:00:00","Second Class","Polycom SoundPoint IP 450 VoIP phone","Technology","Phones","Polycom"
"CA-2015-102988","2015-04-05 00:00:00","312","1754","83","2","13","6","0.49","0","Greg Maxwell","Corporate","South","Alexandria","Virginia","United States","22304","2015-04-09 00:00:00","Second Class","Xerox 1957","Office Supplies","Paper","Xerox"
"CA-2015-102988","2015-04-05 00:00:00","312","475","84","7","23","8","0.33","0","Greg Maxwell","Corporate","South","Alexandria","Virginia","United States","22304","2015-04-09 00:00:00","Second Class","Crayola Colored Pencils","Office Supplies","Art","Crayola"
"CA-2015-102988","2015-04-05 00:00:00","312","1136","85","7","23","7","0.29","0","Greg Maxwell","Corporate","South","Alexandria","Virginia","United States","22304","2015-04-09 00:00:00","Second Class","Newell 321","Office Supplies","Art","Newell"
"CA-2015-102988","2015-04-05 00:00:00","312","159","86","1","29","8","0.29","0","Greg Maxwell","Corporate","South","Alexandria","Virginia","United States","22304","2015-04-09 00:00:00","Second Class","AT&T CL82213","Technology","Phones","AT&T"
"CA-2015-102988","2015-04-05 00:00:00","312","1050","87","5","4164","83","0.02","0","Greg Maxwell","Corporate","South","Alexandria","Virginia","United States","22304","2015-04-09 00:00:00","Second Class","Martin Yale Chadless Opener Electric Letter Opener","Office Supplies","Supplies","Martin-Yale"
"CA-2015-103058","2015-07-23 00:00:00","18","421","88","2","100","8","0.08","0","Alejandro Grove","Consumer","East","New York City","New York","United States","10011","2015-07-24 00:00:00","First Class","Case Logic 2.4GHz Wireless Keyboard","Technology","Accessories","Other"
"CA-2015-103086","2015-10-17 00:00:00","277","678","89","2","5","-2","-0.3","0.6","Evan Bailliet","Consumer","Central","Houston","Texas","United States","77095","2015-10-19 00:00:00","Second Class","G.E. Longer-Life Indoor Recessed Floodlight Bulbs","Furniture","Furnishings","G. E."
"CA-2015-103100","2015-12-20 00:00:00","7","195","90","1","4","2","0.47","0","Adrian Barton","Consumer","Central","Indianapolis","Indiana","United States","46203","2015-12-23 00:00:00","First Class","Avery 487","Office Supplies","Labels","Avery"
"CA-2015-103100","2015-12-20 00:00:00","7","898","91","3","1104","497","0.45","0","Adrian Barton","Consumer","Central","Indianapolis","Indiana","United States","46203","2015-12-23 00:00:00","First Class","Ibico Ibimaster 300 Manual Binding System","Office Supplies","Binders","Ibico"
"CA-2015-103191","2015-09-22 00:00:00","785","1377","92","3","332","-83","-0.25","0.2","Vivek Grady","Corporate","Central","Chicago","Illinois","United States","60653","2015-09-27 00:00:00","Standard Class","SAFCO Commercial Wire Shelving, Black","Office Supplies","Storage","SAFCO"
"CA-2015-103219","2015-11-09 00:00:00","81","548","93","9","57","21","0.38","0","Benjamin Farhat","Home Office","East","New York City","New York","United States","10035","2015-11-13 00:00:00","Standard Class","Eldon 200 Class Desk Accessories, Black","Furniture","Furnishings","Eldon"
"CA-2015-103310","2015-05-10 00:00:00","311","1480","94","2","40","19","0.48","0","Greg Matthias","Consumer","West","San Jose","California","United States","95123","2015-05-15 00:00:00","Standard Class","Southworth 25% Cotton Premium Laser Paper and Envelopes","Office Supplies","Paper","Southworth"
"CA-2015-103310","2015-05-10 00:00:00","311","75","95","6","41","11","0.27","0","Greg Matthias","Consumer","West","San Jose","California","United States","95123","2015-05-15 00:00:00","Standard Class","Acme Design Stainless Steel Bent Scissors","Office Supplies","Supplies","Acme"
"CA-2015-103310","2015-05-10 00:00:00","311","846","96","1","257","32","0.13","0.2","Greg Matthias","Consumer","West","San Jose","California","United States","95123","2015-05-15 00:00:00","Standard Class","Hon Pagoda Stacking Chairs","Furniture","Chairs","Hon"
"CA-2015-103310","2015-05-10 00:00:00","311","1629","97","5","1432","125","0.09","0.2","Greg Matthias","Consumer","West","San Jose","California","United States","95123","2015-05-15 00:00:00","Standard Class","Wilson Electronics DB Pro Signal Booster","Technology","Phones","Other"
"CA-2015-103317","2015-07-05 00:00:00","234","1641","98","5","10","-7","-0.7","0.7","Don Miller","Corporate","South","Palm Coast","Florida","United States","32137","2015-07-08 00:00:00","First Class","Wilson Jones Four-Pocket Poly Binders","Office Supplies","Binders","Wilson Jones"
"CA-2015-103317","2015-07-05 00:00:00","234","108","99","2","20","5","0.28","0.2","Don Miller","Corporate","South","Palm Coast","Florida","United States","32137","2015-07-08 00:00:00","First Class","Advantus Panel Wall Certificate Holder - 8.5x11","Furniture","Furnishings","Advantus"
"CA-2015-103317","2015-07-05 00:00:00","234","1040","100","3","213","16","0.08","0.2","Don Miller","Corporate","South","Palm Coast","Florida","United States","32137","2015-07-08 00:00:00","First Class","Luxo Adjustable Task Clamp Lamp","Furniture","Furnishings","Luxo"
"CA-2015-103331","2015-08-26 00:00:00","420","274","101","1","3","2","0.46","0","Karl Braun","Consumer","East","Newark","Delaware","United States","19711","2015-09-01 00:00:00","Standard Class","Avoid Verbal Orders Carbonless Minifold Book","Office Supplies","Paper","Other"
"CA-2015-103331","2015-08-26 00:00:00","420","91","102","4","11","4","0.38","0","Karl Braun","Consumer","East","Newark","Delaware","United States","19711","2015-09-01 00:00:00","Standard Class","Acrylic Self-Standing Desk Frames","Furniture","Furnishings","Other"
"CA-2015-103331","2015-08-26 00:00:00","420","1776","103","3","17","8","0.49","0","Karl Braun","Consumer","East","Newark","Delaware","United States","19711","2015-09-01 00:00:00","Standard Class","Xerox 1978","Office Supplies","Paper","Xerox"
"CA-2015-103366","2015-01-15 00:00:00","265","1000","104","5","150","66","0.44","0","Erica Hackney","Consumer","South","Roswell","Georgia","United States","30076","2015-01-17 00:00:00","First Class","Logitech 910-002974 M325 Wireless Mouse for Web Scrolling","Technology","Accessories","Logitech"
"CA-2015-103373","2015-05-18 00:00:00","117","144","105","2","780","-169","-0.22","0.4","Bruce Stewart","Consumer","East","Cleveland","Ohio","United States","44105","2015-05-24 00:00:00","Standard Class","Apple iPhone 5","Technology","Phones","Apple"
"CA-2015-103401","2015-11-21 00:00:00","303","1815","106","2","13","6","0.48","0","Georgia Rosenberg","Corporate","West","San Francisco","California","United States","94110","2015-11-26 00:00:00","Standard Class","Xerox 211","Office Supplies","Paper","Xerox"
"CA-2015-103429","2015-05-30 00:00:00","454","699","107","2","26","9","0.35","0.2","Laurel Workman","Corporate","East","New York City","New York","United States","10024","2015-06-01 00:00:00","First Class","GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""","Office Supplies","Binders","GBC"
"CA-2015-103429","2015-05-30 00:00:00","454","1744","108","4","40","18","0.45","0","Laurel Workman","Corporate","East","New York City","New York","United States","10024","2015-06-01 00:00:00","First Class","Xerox 1948","Office Supplies","Paper","Xerox"
